Symbol,Date,Close,Event_Type
BAJAJ-AUTO,2014-02-11,1936.5,Death Cross
KOTAKBANK,2014-02-12,649.55,Death Cross
INDUSINDBK,2014-03-27,491.65,Golden Cross
KOTAKBANK,2014-04-09,784.55,Golden Cross
BAJAJ-AUTO,2014-04-10,2022.15,Golden Cross
SBIN,2014-04-22,2048.55,Golden Cross
AXISBANK,2014-08-22,402.8,Death Cross
SBIN,2014-12-02,318.7,Death Cross
ICICIBANK,2014-12-17,332.35,Death Cross
M&M,2015-02-16,1210.45,Death Cross
BAJAJ-AUTO,2015-03-10,2129.25,Death Cross
HEROMOTOCO,2015-03-17,2651.45,Death Cross
AXISBANK,2015-05-13,558.5,Golden Cross
TATAMOTORS,2015-06-02,466.95,Death Cross
BAJAJ-AUTO,2015-07-14,2498.7,Golden Cross
M&M,2015-07-16,1276.85,Golden Cross
KOTAKBANK,2015-07-20,736.6,Death Cross
AXISBANK,2015-09-11,481.25,Death Cross
M&M,2015-10-21,1256.65,Death Cross
EICHERMOT,2015-11-18,15883.85,Death Cross
M&M,2015-11-26,1346.25,Golden Cross
HEROMOTOCO,2015-12-02,2676.45,Golden Cross
M&M,2016-02-03,1203.0,Death Cross
HDFCBANK,2016-02-12,971.4,Death Cross
BAJAJ-AUTO,2016-02-18,2406.4,Death Cross
MARUTI,2016-02-18,3653.25,Death Cross
INDUSINDBK,2016-02-26,816.35,Death Cross
EICHERMOT,2016-04-01,19254.05,Golden Cross
INDUSINDBK,2016-04-29,1048.85,Golden Cross
TATAMOTORS,2016-05-03,409.65,Golden Cross
M&M,2016-05-05,1320.85,Golden Cross
HDFCBANK,2016-05-11,1138.8,Golden Cross
KOTAKBANK,2016-05-12,726.75,Golden Cross
BAJAJ-AUTO,2016-05-16,2512.1,Golden Cross
AXISBANK,2016-05-30,513.7,Golden Cross
MARUTI,2016-07-19,4485.7,Golden Cross
ICICIBANK,2016-07-21,261.9,Golden Cross
SBIN,2016-07-22,223.5,Golden Cross
M&M,2016-11-25,1173.0,Death Cross
AXISBANK,2016-12-06,455.95,Death Cross
HEROMOTOCO,2016-12-29,3036.35,Death Cross
INDUSINDBK,2017-01-05,1127.55,Death Cross
BAJAJ-AUTO,2017-01-06,2707.35,Death Cross
KOTAKBANK,2017-01-10,712.65,Death Cross
TATAMOTORS,2017-01-16,526.4,Death Cross
HDFCBANK,2017-01-18,1242.6,Death Cross
TATAMOTORS,2017-02-01,542.25,Golden Cross
INDUSINDBK,2017-02-03,1303.2,Golden Cross
HDFCBANK,2017-02-06,1314.1,Golden Cross
BAJAJ-AUTO,2017-03-02,2832.05,Golden Cross
TATAMOTORS,2017-03-09,467.6,Death Cross
KOTAKBANK,2017-03-14,836.15,Golden Cross
HEROMOTOCO,2017-05-05,3376.55,Golden Cross
M&M,2017-05-24,1308.65,Golden Cross
AXISBANK,2017-06-08,515.75,Golden Cross
SBIN,2017-10-09,256.85,Death Cross
ICICIBANK,2017-10-18,263.15,Death Cross
M&M,2017-10-24,1350.65,Death Cross
AXISBANK,2017-10-27,485.95,Death Cross
AXISBANK,2017-11-01,535.1,Golden Cross
SBIN,2017-11-22,335.3,Golden Cross
ICICIBANK,2017-11-24,317.2,Golden Cross
M&M,2017-11-27,1431.0,Golden Cross
M&M,2017-12-28,749.95,Death Cross
HEROMOTOCO,2018-01-03,3755.2,Death Cross
EICHERMOT,2018-01-22,27649.8,Death Cross
SBIN,2018-03-12,252.85,Death Cross
BAJAJ-AUTO,2018-04-04,2766.0,Death Cross
ICICIBANK,2018-04-17,291.75,Death Cross
AXISBANK,2018-04-20,505.7,Death Cross
EICHERMOT,2018-05-29,30510.7,Golden Cross
EICHERMOT,2018-07-12,27995.35,Death Cross
AXISBANK,2018-08-16,623.45,Golden Cross
M&M,2018-08-27,976.45,Golden Cross
SBIN,2018-08-31,309.6,Golden Cross
ICICIBANK,2018-09-11,326.55,Golden Cross
MARUTI,2018-09-27,7553.05,Death Cross
INDUSINDBK,2018-10-19,1576.7,Death Cross
KOTAKBANK,2018-10-31,1119.15,Death Cross
HDFCBANK,2018-11-06,1946.55,Death Cross
M&M,2018-11-13,790.05,Death Cross
HDFCBANK,2018-12-21,2111.15,Golden Cross
KOTAKBANK,2019-02-15,1283.65,Golden Cross
BAJAJ-AUTO,2019-03-11,3000.55,Golden Cross
INDUSINDBK,2019-05-24,1648.9,Golden Cross
TATAMOTORS,2019-06-12,169.05,Golden Cross
INDUSINDBK,2019-06-13,1488.85,Death Cross
TATAMOTORS,2019-06-19,154.65,Death Cross
BAJAJ-AUTO,2019-08-02,2600.55,Death Cross
AXISBANK,2019-09-11,681.7,Death Cross
HDFCBANK,2019-09-20,1199.6,Death Cross
SBIN,2019-09-20,301.7,Death Cross
BAJAJ-AUTO,2019-10-23,3162.65,Golden Cross
HEROMOTOCO,2019-10-27,2668.9,Golden Cross
MARUTI,2019-11-05,7389.0,Golden Cross
EICHERMOT,2019-11-22,22753.2,Golden Cross
HEROMOTOCO,2019-11-29,2433.55,Death Cross
TATAMOTORS,2019-12-24,175.5,Golden Cross
SBIN,2019-12-26,329.85,Golden Cross
AXISBANK,2019-12-31,754.1,Golden Cross
INDUSINDBK,2020-01-16,1386.45,Golden Cross
INDUSINDBK,2020-02-04,1272.65,Death Cross
AXISBANK,2020-03-09,623.55,Death Cross
SBIN,2020-03-09,253.45,Death Cross
EICHERMOT,2020-03-16,16493.7,Death Cross
BAJAJ-AUTO,2020-03-19,2166.6,Death Cross
MARUTI,2020-03-20,5079.2,Death Cross
TATAMOTORS,2020-03-24,68.55,Death Cross
KOTAKBANK,2020-03-30,1293.7,Death Cross
