Annualized_Return_Rank,Symbol,Sector,Annualized_Return,Annualized_Volatility,Sharpe_Ratio_RF0,Maximum_Drawdown,Historical_VaR_95_Loss,Beta,Return_Observations,Start_Date,End_Date
11,HINDUNILVR,Fast Moving Consumer Goods,0.23494947838745794,0.24345390280157136,0.9650676193059636,-0.2512315270935962,0.02084101557101444,0.5582653946632513,2399,2011-08-22,2021-04-30
12,TCS,Information Technology,0.21925425384454034,0.25725710356319204,0.8522767721773842,-0.2816567527821071,0.02406702483748552,0.6070065707739776,2398,2011-08-22,2021-04-30
13,ULTRACEMCO,Construction Materials,0.21441219234157605,0.2831214509173011,0.7573152498579317,-0.3765608700591816,0.026603786529781036,0.9555560865237082,2399,2011-08-22,2021-04-30
14,UPL,Chemicals,0.21221624952443263,0.3776758244464464,0.5619005395314215,-0.644348436606806,0.03476841509290848,0.9884343778821204,2398,2011-08-22,2021-04-30
15,TECHM,Information Technology,0.21001183667278234,0.30296855629086306,0.6931803063785992,-0.47508370327755045,0.02752821330541097,0.6744902242230297,2398,2011-08-22,2021-04-30
16,HDFCBANK,Financial Services,0.20905845386364907,0.2374440026256654,0.8804537135150697,-0.4105497542997544,0.02029240136673489,1.008460192906535,2398,2011-08-22,2021-04-30
17,MARUTI,Automobile and Auto Components,0.1976932820245556,0.299756045880484,0.6595139105330275,-0.5920141978855735,0.026066455965167035,1.0123359500243616,2399,2011-08-22,2021-04-30
18,RELIANCE,Oil Gas & Consumable Fuels,0.1956475147557568,0.2920406539162639,0.6699324636215009,-0.45088356781266503,0.0260461304386459,1.1106247223712296,2398,2011-08-22,2021-04-30
19,ADANIPORTS,Services,0.1927841499830547,0.385850028086727,0.49963492535945303,-0.536935933147633,0.03551929017676497,1.1024532340486788,2399,2011-08-22,2021-04-30
20,INFY,Information Technology,0.18017515767162995,0.28704015517934717,0.6277001820844672,-0.37338570493364254,0.023140002793094083,0.7103065769134502,2396,2011-08-22,2021-04-30
21,INDUSINDBK,Financial Services,0.15538288983209392,0.4133852368788441,0.37587914606063666,-0.8510664590593413,0.03334298698496659,1.4187995103182167,2399,2011-08-22,2021-04-30
22,NESTLEIND,Fast Moving Consumer Goods,0.15356469665049644,0.24020211920425721,0.639314495472506,-0.3240105825819346,0.02129191932207094,0.44368258878432953,2399,2011-08-22,2021-04-30
23,BPCL,Oil Gas & Consumable Fuels,0.1523191441585685,0.36354153925166227,0.4189869044184393,-0.5262042921617383,0.03161220974162712,1.0131884298478908,2396,2011-08-22,2021-04-30
24,HDFC,Financial Services,0.15010090159812584,0.29202934618892273,0.5139925269737137,-0.39832684668779805,0.026894995790955258,1.1898218651726211,2399,2011-08-22,2021-04-30
25,DRREDDY,Healthcare,0.14588955818721194,0.272340769418069,0.5356875450522708,-0.5645758579446143,0.024912017329838387,0.4619268295456813,2399,2011-08-22,2021-04-30
26,ICICIBANK,Financial Services,0.14323484671232856,0.35196014746423215,0.4069632534941609,-0.5234995443301649,0.03306823507637088,1.5052096293081079,2398,2011-08-22,2021-04-30
27,AXISBANK,Financial Services,0.13572338249834104,0.3729737614575187,0.36389525624525676,-0.6315629557608167,0.033342572103850804,1.4872780153584277,2398,2011-08-22,2021-04-30
28,GRASIM,Construction Materials,0.1333810795707442,0.3018966032813627,0.4418104679582473,-0.6940663710047407,0.026039021305330312,1.008260698006978,2398,2011-08-22,2021-04-30
29,CIPLA,Healthcare,0.12972371017579576,0.26773777759066064,0.48451776713455785,-0.4933747971876692,0.02393398345824944,0.5484550328698513,2399,2011-08-22,2021-04-30
30,WIPRO,Information Technology,0.12723874358646392,0.27432525959863585,0.4638243804913423,-0.581194376370438,0.02460789647034711,0.5595658655637327,2398,2011-08-22,2021-04-30
31,SUNPHARMA,Healthcare,0.11221314234844426,0.3077305673312146,0.3646473709830318,-0.722483537158984,0.027302064929328657,0.6437005414045598,2398,2011-08-22,2021-04-30
32,BAJAJ-AUTO,Automobile and Auto Components,0.10937907722448537,0.2621053224281018,0.4173096380157987,-0.4328806457756489,0.023668707675590737,0.7929728782855506,2399,2011-08-22,2021-04-30
33,HINDALCO,Metals & Mining,0.10608203893256607,0.4149283519487939,0.2556635101803253,-0.6924242424242417,0.03939272768491825,1.4659147505975332,2399,2011-08-22,2021-04-30
34,TATASTEEL,Metals & Mining,0.08895522576848891,0.3815649375681636,0.2331325994873356,-0.6761327377153791,0.03742281141882693,1.3445972047673498,2399,2011-08-22,2021-04-30
35,POWERGRID,Power,0.08518360497569422,0.24234761174192584,0.3514934781631172,-0.3620269971232566,0.022972391369036817,0.6257032402265724,2399,2011-08-22,2021-04-30
36,M&M,Automobile and Auto Components,0.08511991035648037,0.30538210938946186,0.27873247233329146,-0.726584337043249,0.028752603984093416,1.0161587441964863,2398,2011-08-22,2021-04-30
37,TATAMOTORS,Automobile and Auto Components,0.08408131549706832,0.42822629352315916,0.19634785805725186,-0.8919857745430485,0.03871240647315438,1.4295863503393715,2398,2011-08-22,2021-04-30
38,LT,Construction,0.06868794329876304,0.3004828951646993,0.22859185798617299,-0.5564536340852132,0.027458038427596664,1.1996462480006898,2397,2011-08-22,2021-04-30
39,SBIN,Financial Services,0.05732288436747224,0.35905833142911164,0.15964783253828888,-0.5949248120300763,0.03388128688899423,1.3523431614563164,2398,2011-08-22,2021-04-30
40,ZEEL,Media,0.04487937015752652,0.4196570285975753,0.10694297271156399,-0.8057548092598633,0.03611096863485598,0.9142505934303493,2399,2011-08-22,2021-04-30
41,ITC,Fast Moving Consumer Goods,0.04241345250072048,0.25893147630192503,0.16380184095990172,-0.5700729927007303,0.023652628803988825,0.719037752102388,2398,2011-08-22,2021-04-30
42,HEROMOTOCO,Automobile and Auto Components,0.03706198463140842,0.28729425845741496,0.129003568781386,-0.6163202805665665,0.026572942890424677,0.8406529165451557,2399,2011-08-22,2021-04-30
43,BHARTIARTL,Telecommunication,0.03590338529890147,0.3319698401471822,0.10815255169862219,-0.4746870397643601,0.031930451697081974,0.8430513146391359,2399,2011-08-22,2021-04-30
44,IOC,Oil Gas & Consumable Fuels,0.01787637922241192,0.31966853574358944,0.05592161011664536,-0.6763151010301902,0.029755345783086827,0.8244350378762653,2397,2011-08-22,2021-04-30
45,VEDL,Metals & Mining,0.015241103754427554,0.45221760563614405,0.033703030497867444,-0.821903935185185,0.04111819815573172,1.4195264555286904,2399,2011-08-22,2021-04-30
46,GAIL,Oil Gas & Consumable Fuels,-0.0433782182471073,0.33891595673732006,-0.12799107679880647,-0.7304706421990032,0.03020607655169755,0.8284171500395376,2398,2011-08-22,2021-04-30
47,NTPC,Power,-0.054177141272022444,0.2733885241760436,-0.19816903959412743,-0.5934007450771687,0.025816699579157887,0.7336671495212885,2399,2011-08-22,2021-04-30
48,ONGC,Oil Gas & Consumable Fuels,-0.05572752497161981,0.33774346320930654,-0.16499956636343344,-0.8094523661731966,0.02981788605669445,1.0126926430003227,2398,2011-08-22,2021-04-30
49,COALINDIA,Oil Gas & Consumable Fuels,-0.10764522846229096,0.2959804405356635,-0.36369034476560447,-0.7506765899864676,0.029288100120044135,0.7229212764529995,2399,2011-08-22,2021-04-30
