Window,Window_Start,Window_End,Policy_Announcement_Date,Market_Response_Day_Zero,Analysis_Level,Entity,Sector,Event_Observations,Event_Cumulative_Return,Event_Mean_Daily_Return,Event_Daily_Volatility,Event_Mean_Abnormal_Return,Event_Cumulative_Abnormal_Return,Baseline_Observations,Baseline_Cumulative_Return,Baseline_Mean_Daily_Return,Baseline_Daily_Volatility,Baseline_Mean_Abnormal_Return,Baseline_Cumulative_Abnormal_Return,Volatility_Change
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,GRASIM,Construction Materials,41,-0.12746963266500777,-0.0031095636880536692,0.020487580734067194,-0.00186193444541446,-0.07633931226199286,246,0.37478600064937595,0.0013825396558275293,0.013249125156848004,0.0010746165682608889,0.26435567579217867,0.00723845557721919
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,HCLTECH,Information Technology,41,-0.014506230239911821,-0.0002141021434811327,0.017129848228245023,0.0010335270991580763,0.04237461106548113,247,-0.013032305433185676,5.159048667733645e-05,0.014461377369816458,-0.00023915812988371086,-0.05907205808127658,0.0026684708584285653
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,HDFC,Financial Services,41,-0.08110707416114538,-0.0018731022079583326,0.019610901262373328,-0.0006254729653191236,-0.02564439157808407,247,0.09882969979255618,0.0004862691831129607,0.014480443491111392,0.00019552056655191343,0.04829357993832262,0.005130457771261936
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,HDFCBANK,Financial Services,41,-0.06332968920818405,-0.0015389483524369287,0.010674123929509647,-0.0002913191097977196,-0.011944083501706504,247,0.17729257641921525,0.0007049543847004841,0.009395123707640684,0.00041420576813943683,0.1023088247304409,0.001279000221868963
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,HEROMOTOCO,Automobile and Auto Components,41,-0.04546370387427279,-0.0009703135650440675,0.018221487294671063,0.00027731567759514144,0.0113699427814008,247,0.36739151825248406,0.0013802410621679049,0.015123100860429685,0.0010894924456068577,0.2691046340648938,0.003098386434241379
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,HINDALCO,Metals & Mining,41,0.1341772151898728,0.0034916884044955626,0.029444427918868556,0.004739317647134772,0.19431202353252564,247,0.9291819291819299,0.0030511399798377756,0.027944341188584007,0.0027603913632767286,0.6818166667293519,0.0015000867302845493
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,HINDUNILVR,Fast Moving Consumer Goods,41,-0.03904246223995478,-0.0009022299008784907,0.011857045100837797,0.0003453993417607183,0.014161373012189449,247,0.06520551271932495,0.00034027491904674653,0.013045493327445559,4.952630248569925e-05,0.012232996713967714,-0.001188448226607762
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,ICICIBANK,Financial Services,41,0.04848363926576238,0.0014581534371546918,0.025014564836989595,0.0027057826797939008,0.11093708987154993,247,-0.11448763250883365,-0.000263491155977598,0.021479489561291785,-0.0005542397725386454,-0.1368972238170454,0.0035350752756978104
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,INDUSINDBK,Financial Services,41,-0.10038088217225738,-0.002394265584032234,0.01908969012894643,-0.0011466363413930253,-0.04701208999711404,247,0.2873411715084109,0.001114307386871299,0.013550180508216002,0.0008235587703102517,0.20341901626663217,0.005539509620730427
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,INFY,Information Technology,41,-0.027554194854574776,-0.0005849739896223524,0.014113533703786195,0.0006626552530168565,0.02716886537369112,247,-0.10646840804800439,-0.0003388567018986953,0.015264118771214275,-0.0006296053184597426,-0.15551251365955643,-0.0011505850674280796
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,IOC,Oil Gas & Consumable Fuels,40,-0.04470048215244393,-0.0009004849034384588,0.022101573791924047,0.0008404612615253576,0.033618450461014304,247,0.6107062075898475,0.00208213537234214,0.017453091255521566,0.0017913867557810925,0.44247252867792985,0.00464848253640248
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,ITC,Fast Moving Consumer Goods,41,-0.02364511404059433,-0.0004461763881442241,0.01678244666788038,0.0008014528544949849,0.03285956703429438,246,0.004572055079660631,0.00015051548224037376,0.016335689448681818,-0.00012150111255459158,-0.02988927368842953,0.0004467572191985611
