Symbol,Sector,Start_Date,End_Date,Return_Observations,Annualized_Return,Annualized_Volatility,Sharpe_Ratio_RF0,Maximum_Drawdown,Historical_VaR_95_Loss,Beta,Annualized_Return_Rank,Lowest_Volatility_Rank
HINDUNILVR,Fast Moving Consumer Goods,2011-08-22,2021-04-30,2399,0.23494947838745794,0.24345390280157136,0.9650676193059636,-0.2512315270935962,0.02084101557101444,0.5582653946632513,11,4
ICICIBANK,Financial Services,2011-08-22,2021-04-30,2398,0.14323484671232856,0.35196014746423215,0.4069632534941609,-0.5234995443301649,0.03306823507637088,1.5052096293081079,26,36
INDUSINDBK,Financial Services,2011-08-22,2021-04-30,2399,0.15538288983209392,0.4133852368788441,0.37587914606063666,-0.8510664590593413,0.03334298698496659,1.4187995103182167,21,45
INFY,Information Technology,2011-08-22,2021-04-30,2396,0.18017515767162995,0.28704015517934717,0.6277001820844672,-0.37338570493364254,0.023140002793094083,0.7103065769134502,20,15
IOC,Oil Gas & Consumable Fuels,2011-08-22,2021-04-30,2397,0.01787637922241192,0.31966853574358944,0.05592161011664536,-0.6763151010301902,0.029755345783086827,0.8244350378762653,44,29
ITC,Fast Moving Consumer Goods,2011-08-22,2021-04-30,2398,0.04241345250072048,0.25893147630192503,0.16380184095990172,-0.5700729927007303,0.023652628803988825,0.719037752102388,41,6
JSWSTEEL,Metals & Mining,2011-08-22,2021-04-30,2398,0.2850031175911767,0.3825916914936008,0.7449276184711493,-0.662630380050354,0.03613514355494464,1.3387598081061811,6,43
KOTAKBANK,Financial Services,2011-08-22,2021-04-30,2398,0.24643137591570308,0.2870576881572717,0.858473352508467,-0.3649898814686324,0.02672054320057759,1.075437657868558,8,16
LT,Construction,2011-08-22,2021-04-30,2397,0.06868794329876304,0.3004828951646993,0.22859185798617299,-0.5564536340852132,0.027458038427596664,1.1996462480006898,38,24
M&M,Automobile and Auto Components,2011-08-22,2021-04-30,2398,0.08511991035648037,0.30538210938946186,0.27873247233329146,-0.726584337043249,0.028752603984093416,1.0161587441964863,36,27
MARUTI,Automobile and Auto Components,2011-08-22,2021-04-30,2399,0.1976932820245556,0.299756045880484,0.6595139105330275,-0.5920141978855735,0.026066455965167035,1.0123359500243616,17,23
NESTLEIND,Fast Moving Consumer Goods,2011-08-22,2021-04-30,2399,0.15356469665049644,0.24020211920425721,0.639314495472506,-0.3240105825819346,0.02129191932207094,0.44368258878432953,22,2
NTPC,Power,2011-08-22,2021-04-30,2399,-0.054177141272022444,0.2733885241760436,-0.19816903959412743,-0.5934007450771687,0.025816699579157887,0.7336671495212885,47,12
ONGC,Oil Gas & Consumable Fuels,2011-08-22,2021-04-30,2398,-0.05572752497161981,0.33774346320930654,-0.16499956636343344,-0.8094523661731966,0.02981788605669445,1.0126926430003227,48,32
POWERGRID,Power,2011-08-22,2021-04-30,2399,0.08518360497569422,0.24234761174192584,0.3514934781631172,-0.3620269971232566,0.022972391369036817,0.6257032402265724,35,3
RELIANCE,Oil Gas & Consumable Fuels,2011-08-22,2021-04-30,2398,0.1956475147557568,0.2920406539162639,0.6699324636215009,-0.45088356781266503,0.0260461304386459,1.1106247223712296,18,20
SBIN,Financial Services,2011-08-22,2021-04-30,2398,0.05732288436747224,0.35905833142911164,0.15964783253828888,-0.5949248120300763,0.03388128688899423,1.3523431614563164,39,37
SHREECEM,Construction Materials,2011-08-22,2021-04-30,2399,0.34556967411301587,0.29601844987674153,1.1673923509055157,-0.3689685639695037,0.026661897487845965,0.7819115857276222,4,22
SUNPHARMA,Healthcare,2011-08-22,2021-04-30,2398,0.11221314234844426,0.3077305673312146,0.3646473709830318,-0.722483537158984,0.027302064929328657,0.6437005414045598,31,28
TATAMOTORS,Automobile and Auto Components,2011-08-22,2021-04-30,2398,0.08408131549706832,0.42822629352315916,0.19634785805725186,-0.8919857745430485,0.03871240647315438,1.4295863503393715,37,48
TATASTEEL,Metals & Mining,2011-08-22,2021-04-30,2399,0.08895522576848891,0.3815649375681636,0.2331325994873356,-0.6761327377153791,0.03742281141882693,1.3445972047673498,34,42
TCS,Information Technology,2011-08-22,2021-04-30,2398,0.21925425384454034,0.25725710356319204,0.8522767721773842,-0.2816567527821071,0.02406702483748552,0.6070065707739776,12,5
TECHM,Information Technology,2011-08-22,2021-04-30,2398,0.21001183667278234,0.30296855629086306,0.6931803063785992,-0.47508370327755045,0.02752821330541097,0.6744902242230297,15,26
TITAN,Consumer Durables,2011-08-22,2021-04-30,2399,0.23702284014076103,0.34385872252450034,0.6893029742000303,-0.4173002073405837,0.029899003206282793,0.9014276473485916,10,34
ULTRACEMCO,Construction Materials,2011-08-22,2021-04-30,2399,0.21441219234157605,0.2831214509173011,0.7573152498579317,-0.3765608700591816,0.026603786529781036,0.9555560865237082,13,14
UPL,Chemicals,2011-08-22,2021-04-30,2398,0.21221624952443263,0.3776758244464464,0.5619005395314215,-0.644348436606806,0.03476841509290848,0.9884343778821204,14,41
VEDL,Metals & Mining,2011-08-22,2021-04-30,2399,0.015241103754427554,0.45221760563614405,0.033703030497867444,-0.821903935185185,0.04111819815573172,1.4195264555286904,45,49
WIPRO,Information Technology,2011-08-22,2021-04-30,2398,0.12723874358646392,0.27432525959863585,0.4638243804913423,-0.581194376370438,0.02460789647034711,0.5595658655637327,30,13
ZEEL,Media,2011-08-22,2021-04-30,2399,0.04487937015752652,0.4196570285975753,0.10694297271156399,-0.8057548092598633,0.03611096863485598,0.9142505934303493,40,47
